"","date","OBS_VALUE","TITLE_FR","DEMOGRAPHIE2"
"124",2020-11-01,645260,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"125",2020-11-01,700988,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"126",2020-10-01,631009,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"127",2020-10-01,703641,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"128",2020-09-01,623300,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"129",2020-09-01,705404,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"130",2020-08-01,620325,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"131",2020-08-01,707109,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"132",2020-07-01,618183,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"133",2020-07-01,709708,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"134",2020-06-01,619061,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"135",2020-06-01,711694,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"136",2020-05-01,619263,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"137",2020-05-01,712891,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"138",2020-04-01,619332,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"139",2020-04-01,714261,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"140",2020-03-01,601550,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"141",2020-03-01,715596,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"142",2020-02-01,592047,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"143",2020-02-01,714903,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"144",2020-01-01,596478,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"145",2020-01-01,713221,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"146",2019-12-01,599408,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"147",2019-12-01,714029,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"148",2019-11-01,597522,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"149",2019-11-01,714161,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"150",2019-10-01,595432,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"151",2019-10-01,715398,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"152",2019-09-01,595076,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"153",2019-09-01,716350,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"154",2019-08-01,594730,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"155",2019-08-01,716669,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"156",2019-07-01,594927,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"157",2019-07-01,717531,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"158",2019-06-01,595263,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"159",2019-06-01,717775,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"160",2019-05-01,593888,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"161",2019-05-01,718299,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"162",2019-04-01,592614,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"163",2019-04-01,719439,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"164",2019-03-01,593917,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"165",2019-03-01,719151,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"166",2019-02-01,600755,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"167",2019-02-01,718950,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"168",2019-01-01,597132,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"169",2019-01-01,719851,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"170",2018-12-01,596552,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"171",2018-12-01,719737,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"172",2018-11-01,600526,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"173",2018-11-01,720647,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"174",2018-10-01,600789,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"175",2018-10-01,721473,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"176",2018-09-01,600259,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"177",2018-09-01,721715,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"178",2018-08-01,600610,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"179",2018-08-01,721574,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"180",2018-07-01,600070,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"181",2018-07-01,722368,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"182",2018-06-01,598120,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"183",2018-06-01,722715,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"184",2018-05-01,597579,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"185",2018-05-01,722358,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"186",2018-04-01,598158,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"187",2018-04-01,723217,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"188",2018-03-01,594875,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"189",2018-03-01,725048,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"190",2018-02-01,584801,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"191",2018-02-01,727333,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"192",2018-01-01,585227,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"193",2018-01-01,729548,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"194",2017-12-01,593606,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"195",2017-12-01,730242,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"196",2017-11-01,593953,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"197",2017-11-01,730651,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"198",2017-10-01,593714,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"199",2017-10-01,730434,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"200",2017-09-01,594675,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"201",2017-09-01,731117,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"202",2017-08-01,593413,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"203",2017-08-01,733003,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"204",2017-07-01,592506,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"205",2017-07-01,733458,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"206",2017-06-01,592891,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"207",2017-06-01,735525,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"208",2017-05-01,592904,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"209",2017-05-01,738387,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"210",2017-04-01,592534,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"211",2017-04-01,738669,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"212",2017-03-01,594191,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"213",2017-03-01,738709,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"214",2017-02-01,598122,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"215",2017-02-01,739667,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"216",2017-01-01,595039,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"217",2017-01-01,742573,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"218",2016-12-01,581073,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"219",2016-12-01,744697,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"220",2016-11-01,574509,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"221",2016-11-01,747084,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"222",2016-10-01,571456,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"223",2016-10-01,748437,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"224",2016-09-01,571269,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"225",2016-09-01,749812,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"226",2016-08-01,571103,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"227",2016-08-01,751682,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"228",2016-07-01,571191,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"229",2016-07-01,752357,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"230",2016-06-01,570971,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"231",2016-06-01,751821,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"232",2016-05-01,571196,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"233",2016-05-01,753008,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"234",2016-04-01,569525,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"235",2016-04-01,754779,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"236",2016-03-01,568548,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"237",2016-03-01,757243,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"238",2016-02-01,569389,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"239",2016-02-01,758724,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"240",2016-01-01,577341,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"241",2016-01-01,758395,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"242",2015-12-01,581770,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"243",2015-12-01,760421,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"244",2015-11-01,583430,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"245",2015-11-01,762357,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"246",2015-10-01,583720,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"247",2015-10-01,763536,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"248",2015-09-01,580029,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"249",2015-09-01,765285,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"250",2015-08-01,578934,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"251",2015-08-01,767262,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"252",2015-07-01,577254,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"253",2015-07-01,768315,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"254",2015-06-01,575291,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"255",2015-06-01,770079,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"256",2015-05-01,573761,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"257",2015-05-01,771113,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"258",2015-04-01,572942,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"259",2015-04-01,771496,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"260",2015-03-01,570639,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"261",2015-03-01,772462,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"262",2015-02-01,565006,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"263",2015-02-01,775904,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"264",2015-01-01,554331,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"265",2015-01-01,778752,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"266",2014-12-01,547003,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"267",2014-12-01,781167,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"268",2014-11-01,545076,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"269",2014-11-01,782646,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"270",2014-10-01,543549,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"271",2014-10-01,784030,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"272",2014-09-01,543193,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"273",2014-09-01,784324,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"274",2014-08-01,542635,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"275",2014-08-01,783716,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"276",2014-07-01,541200,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"277",2014-07-01,785345,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"278",2014-06-01,541880,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"279",2014-06-01,786979,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"280",2014-05-01,542097,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"281",2014-05-01,785641,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"282",2014-04-01,542040,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"283",2014-04-01,786266,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"284",2014-03-01,543610,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"285",2014-03-01,786707,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"286",2014-02-01,548553,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"287",2014-02-01,784802,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"288",2014-01-01,553399,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"289",2014-01-01,782962,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"290",2013-12-01,558408,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"291",2013-12-01,781621,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"292",2013-11-01,559392,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"293",2013-11-01,780438,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"294",2013-10-01,560711,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"295",2013-10-01,781098,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"296",2013-09-01,561822,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"297",2013-09-01,783059,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"298",2013-08-01,561118,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"299",2013-08-01,783160,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
"300",2013-07-01,561754,"Démographie - Nombre de décès par mois - France métropolitaine","Décès"
"301",2013-07-01,783336,"Démographie - Nombre de naissances vivantes par mois - France métropolitaine","Naissances"
