"","date","Metier","Indice","Valeur"
"124",2016-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",101.193256731352
"125",2016-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",111.627872965079
"126",2016-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",114.608084722714
"127",2017-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",102.74649796019
"128",2017-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",105.613092101195
"129",2017-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.4058576449212
"130",2017-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",102.179248999018
"131",2017-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",112.011536941669
"132",2017-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",115.136622680808
"133",2018-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",102.276843961723
"134",2018-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",105.390129050337
"135",2018-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",98.7177942551525
"136",2018-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",101.722742637707
"137",2018-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",111.912975411738
"138",2018-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",115.319582265019
"139",2019-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",101.331153381276
"140",2019-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",104.619368308997
"141",2019-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.8443921883808
"142",2019-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",103.084361436612
"143",2019-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",113.98412825091
"144",2019-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",117.682934585698
"145",2020-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",103.231656234177
"146",2020-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",106.628586862983
"147",2020-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",101.129890153396
"148",2020-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",104.457660276259
"149",2020-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",114.738301853866
"150",2020-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",118.513869020786
"151",2021-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",100.981904466199
"152",2021-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",104.739944741764
"153",2021-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.6386113225838
"154",2021-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",103.34666096109
